census_tract,Longitude,Latitude,EV Level1 EVSE Num,EV Level1 Power Output (kW),EV Level2 EVSE Num,EV Level2 Power Output (kW),EV DC Fast Count,EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW),EV other DC Fast Count,EV other DC Fast Power Output (kW)
06001403100,-122.275736,37.802314,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275749,37.802323,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275719,37.802438,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276378,37.802674,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276404,37.802628,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275741,37.802357,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276164,37.802237,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276489,37.802331,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422100,-122.29525,37.87612,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
